"year","Mortality.x","Mortality.y","Mortality.x.x","Mortality.y.y","ISO"
2009,97.1,62.9,29.2,698,"BDI"
2010,91,59.4,28.2,665,"BDI"
2011,85.5,56.3,27.1,635,"BDI"
2012,80.3,53.4,26.1,608,"BDI"
2013,75.5,50.7,25.2,591,"BDI"
2014,71.3,48.2,24.4,576,"BDI"
2015,67.6,46.2,23.6,568,"BDI"
2016,64.4,44.4,23,558,"BDI"
2017,61.5,42.7,22.4,548,"BDI"
2018,59,41.3,21.8,NA,"BDI"
2019,56.6,39.9,21.3,NA,"BDI"
2000,5.8,4.8,3,8,"BEL"
2001,5.6,4.6,2.8,8,"BEL"
2002,5.4,4.4,2.8,7,"BEL"
2003,5.2,4.3,2.7,7,"BEL"
2004,5.1,4.2,2.7,7,"BEL"
2005,4.9,4,2.6,7,"BEL"
2006,4.8,4,2.6,7,"BEL"
2007,4.7,3.9,2.5,7,"BEL"
2008,4.6,3.8,2.5,7,"BEL"
2009,4.5,3.7,2.4,6,"BEL"
2010,4.4,3.6,2.3,6,"BEL"
2011,4.4,3.6,2.3,6,"BEL"
2012,4.3,3.5,2.3,6,"BEL"
2013,4.2,3.4,2.3,6,"BEL"
2014,4.1,3.3,2.3,6,"BEL"
2015,4.1,3.3,2.3,5,"BEL"
2016,4.1,3.3,2.3,5,"BEL"
2017,4.1,3.3,2.3,5,"BEL"
2018,4.2,3.4,2.4,NA,"BEL"
2019,4.2,3.4,2.4,NA,"BEL"
2000,136.8,85,39,520,"BEN"
2001,133.7,83.3,38.3,516,"BEN"
2002,130.5,81.5,37.6,511,"BEN"
2003,127.4,79.8,36.8,510,"BEN"
2004,124.4,78.2,36.2,505,"BEN"
2005,121.5,76.5,35.8,500,"BEN"
2006,118.8,75,35.3,493,"BEN"
2007,116.2,73.6,35,486,"BEN"
2008,113.7,72.2,34.6,480,"BEN"
2009,111.3,70.9,34.3,471,"BEN"
2010,109,69.6,33.9,464,"BEN"
2011,106.7,68.3,33.5,458,"BEN"
2012,104.4,67,33.1,450,"BEN"
2013,102.1,65.7,32.7,441,"BEN"
2014,99.8,64.4,32.3,432,"BEN"
2015,97.6,63.2,31.9,421,"BEN"
2016,95.4,61.9,31.5,408,"BEN"
2017,93.2,60.6,31.1,397,"BEN"
2018,90.9,59.3,30.6,NA,"BEN"
2019,88.4,57.9,30.2,NA,"BEN"
2000,178.9,90.9,40.7,516,"BFA"
2001,174.9,89.3,39.9,501,"BFA"
2002,170.4,87.6,39.2,486,"BFA"
2003,165.3,85.5,38.3,471,"BFA"
2004,159.5,83.3,37.2,454,"BFA"
2005,153.1,80.8,36,437,"BFA"
2006,146.3,78.1,34.8,422,"BFA"
2007,139.5,75.4,33.7,410,"BFA"
2008,132.9,72.7,32.7,401,"BFA"
2009,126.9,70.3,31.9,393,"BFA"
2010,121.5,68.1,31.2,385,"BFA"
2011,116.9,66.3,30.5,377,"BFA"
2012,112.5,64.4,29.9,369,"BFA"
2013,108.3,62.7,29.3,362,"BFA"
2014,104.5,61.2,28.8,353,"BFA"
2015,100.9,59.6,28.2,343,"BFA"
2016,97.5,58.2,27.7,331,"BFA"
2017,94.1,56.7,27.3,320,"BFA"
2018,90.8,55.4,26.7,NA,"BFA"
2019,87.8,54.1,26.2,NA,"BFA"
2000,86,63.1,44,434,"BGD"
2001,81.1,60,42.2,423,"BGD"
2002,76.5,57,40.4,410,"BGD"
2003,72.3,54.3,38.8,395,"BGD"
2004,68.3,51.8,37.3,372,"BGD"
2005,64.6,49.4,35.9,343,"BGD"
2006,61,47,34.5,315,"BGD"
2007,57.8,44.8,33.1,297,"BGD"
2008,54.7,42.7,31.8,280,"BGD"
2009,51.8,40.7,30.6,269,"BGD"
2010,49.1,38.9,29.4,258,"BGD"
2011,46.7,37.2,28.2,248,"BGD"
2012,44.4,35.6,27.1,238,"BGD"
2013,42.2,34,25.9,227,"BGD"
2014,40.1,32.5,24.8,214,"BGD"
2015,38.1,31,23.6,200,"BGD"
2016,36.1,29.6,22.4,186,"BGD"
2017,34.2,28.2,20.9,173,"BGD"
2018,32.4,26.8,19.7,NA,"BGD"
2019,30.7,25.5,18.5,NA,"BGD"
2000,17.5,14.4,7.9,19,"BGR"
2001,16.7,13.8,7.6,18,"BGR"
2002,15.9,13.2,7.3,17,"BGR"
2003,15.1,12.5,6.9,16,"BGR"
2004,14.2,11.8,6.4,16,"BGR"
2005,13.3,11,6,15,"BGR"
2006,12.4,10.3,5.6,14,"BGR"
2007,11.8,9.9,5.3,13,"BGR"
2008,11.4,9.5,5.2,13,"BGR"
2009,11.1,9.3,5.2,12,"BGR"
2010,10.8,9,5.1,12,"BGR"
2011,10.4,8.7,5,12,"BGR"
2012,9.8,8.2,4.8,11,"BGR"
2013,9.3,7.8,4.5,10,"BGR"
2014,8.7,7.3,4.3,11,"BGR"
2015,8.2,6.9,4.1,10,"BGR"
2016,7.7,6.5,3.9,10,"BGR"
2017,7.3,6.1,3.7,10,"BGR"
2018,7,5.8,3.4,NA,"BGR"
2019,6.6,5.5,3.2,NA,"BGR"
2000,12.5,10.7,4.7,27,"BHR"
2001,12,10.3,4.4,19,"BHR"
2002,11.6,10,4.1,25,"BHR"
2003,11.3,9.7,3.9,21,"BHR"
2004,11,9.4,3.7,21,"BHR"
2005,10.6,9.1,3.6,19,"BHR"
2006,10.2,8.8,3.4,24,"BHR"
2007,9.8,8.4,3.3,16,"BHR"
2008,9.3,8,3.2,18,"BHR"
2009,8.9,7.6,3.2,19,"BHR"
2010,8.5,7.3,3.2,18,"BHR"
2011,8.2,7,3.2,15,"BHR"
2012,8,6.8,3.2,18,"BHR"
2013,7.8,6.7,3.2,17,"BHR"
2014,7.7,6.6,3.2,15,"BHR"
2015,7.6,6.5,3.2,15,"BHR"
2016,7.5,6.4,3.2,15,"BHR"
2017,7.3,6.3,3.1,14,"BHR"
2018,7.1,6.1,3.1,NA,"BHR"
2019,7,5.9,3,NA,"BHR"
2000,16.3,13.9,8,75,"BHS"
2001,16.4,14,8.2,76,"BHS"
2002,16.5,14.1,8.3,78,"BHS"
2003,16.7,14.3,8.5,79,"BHS"
2004,16.8,14.4,8.6,78,"BHS"
2005,16.8,14.4,8.7,77,"BHS"
2006,16.7,14.3,8.7,78,"BHS"
2007,16.5,14.1,8.6,77,"BHS"
2008,16.2,13.9,8.5,77,"BHS"
2009,15.9,13.6,8.3,78,"BHS"
2010,15.6,13.3,8.1,78,"BHS"
2011,15.2,13,7.9,78,"BHS"
2012,14.9,12.8,7.8,78,"BHS"
2013,14.6,12.5,7.7,78,"BHS"
2014,14.3,12.2,7.5,77,"BHS"
2015,14,12,7.4,74,"BHS"
2016,13.7,11.7,7.3,72,"BHS"
2017,13.3,11.4,7.2,70,"BHS"
2018,13,11.2,7,NA,"BHS"
2019,22.4,14.5,6.9,NA,"BHS"
2000,9.9,8.7,6.9,17,"BIH"
2001,9.6,8.4,6.5,16,"BIH"
2002,9.3,8.2,6.2,14,"BIH"
2003,9.2,8.1,5.9,14,"BIH"
